City_ID,City,country,Max Temp,Current Description,Lat,Lng,Hotel Name
208,Soledar,UA,77.34,overcast clouds,48.68,38.09,Soledar
209,Bolobo,CD,80.56,overcast clouds,-2.17,16.23,
211,Cap Malheureux,MU,78.01,scattered clouds,-19.98,57.61,Pereybere Hotel & Spa
214,Atambua,ID,81.07,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
216,Tura,IN,81.79,light rain,25.52,90.22,Hotel RIKMAN Continental
226,Nageshwari,BD,84.92,light rain,25.94,89.71,Joogle Studiam
232,Margate,GB,70.0,clear sky,51.38,1.39,Premier Inn Margate hotel
235,Rennes,FR,70.0,overcast clouds,48.17,-1.67,Appart'City Rennes Saint-Grégoire - Appart Hôtel
236,Malokaterynivka,UA,82.0,clear sky,47.65,35.25,Душевный отдых
238,Kombissiri,BF,77.0,broken clouds,12.07,-1.34,Mitibkieta Annexe
239,Requena,ES,84.99,clear sky,39.49,-1.1,Hotel Avenida
243,Norrtalje,SE,73.0,clear sky,59.76,18.7,Norrtälje Vandrarhem Hvilan
245,Sinnamary,GF,76.82,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
246,Vila Franca Do Campo,PT,71.6,scattered clouds,37.72,-25.43,Pestana Bahia Praia
247,Faanui,PF,77.79,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
249,Kutum,SD,77.25,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
250,Salalah,OM,80.6,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
252,Nanakuli,US,80.01,clear sky,21.39,-158.15,Camp Palehua
254,Wanning,CN,86.47,light rain,18.8,110.4,Paradise Hotel
256,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
257,Thinadhoo,MV,83.44,few clouds,0.53,72.93,
258,Isangel,VU,73.24,clear sky,-19.55,169.27,Volcano Sea View Tree House
260,Ugoofaaru,MV,83.43,overcast clouds,5.67,73.0,Ungoofaaru Inn
263,Panzhihua,CN,84.99,clear sky,26.59,101.71,Electric Power Hotel
265,Tautira,PF,75.2,shower rain,-17.73,-149.15,Pension Oaoa
266,Verkh-Usugli,RU,73.06,broken clouds,52.7,115.17,"Gostinitsa ""Sever"""
267,Nosy Varika,MG,75.94,clear sky,-20.58,48.53,Hotel Volazara
268,Banswada,IN,73.54,moderate rain,18.38,77.88,Bc Boys Hostel
270,Manokwari,ID,84.07,clear sky,-0.87,134.08,Swiss Belhotel Manokwari
274,Kalia,BD,86.83,moderate rain,23.04,89.63,সামিয়া এন্টারপ্রাইজ
275,Valdemarpils,LV,73.4,light rain,57.37,22.59,Guest House Laumas
277,Kahramanmaras,TR,87.8,clear sky,38.0,37.0,
278,Namatanai,PG,81.1,light rain,-3.67,152.43,Namatanai Hotel
279,Bathsheba,BB,80.6,shower rain,13.22,-59.52,Atlantis Hotel
280,Fort Morgan,US,71.6,clear sky,40.25,-103.8,Hampton Inn Fort Morgan
282,Price,US,71.6,clear sky,39.6,-110.81,National 9 - Price River Inn
284,Altar,MX,84.0,light rain,30.7,-111.82,Hotel Maria Elena
286,Aksehir,TR,71.55,clear sky,38.36,31.42,GRAND HOTEL AKŞEHİR
287,Tucumcari,US,74.71,overcast clouds,35.17,-103.72,Holiday Inn Express & Suites Tucumcari
290,Ushtobe,KZ,84.29,overcast clouds,45.25,77.98,"Gostinitsa ""Diyar"""
292,Adrar,MR,85.66,few clouds,20.5,-10.07,
294,Kamenka,RU,71.01,clear sky,51.32,42.77,
295,Chatellerault,FR,70.0,overcast clouds,46.8,0.53,La Gourmandine
296,Kushima,JP,89.6,broken clouds,31.46,131.23,Hanaoka
298,Jutai,BR,75.69,clear sky,-5.18,-68.9,
299,Batie,BF,73.89,overcast clouds,9.88,-2.92,Auberge SONDAR AFACI
303,Airai,TL,72.01,clear sky,-8.93,125.41,Juvinal Martin
307,Gat,IL,84.0,clear sky,31.61,34.76,רגע בנחת
308,Luanda,AO,75.2,few clouds,-8.84,13.23,EPIC SANA Luanda
309,Santa Rita,BR,73.4,light rain,-7.11,-34.98,Infinity Motel
311,Bac Lieu,VN,87.31,light rain,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
313,Ler,SS,78.75,light rain,8.3,30.14,
314,Sembe,CG,75.0,overcast clouds,1.65,14.58,
315,Miyang,CN,79.27,light rain,24.4,103.44,Huibinlou Hotel
317,Beira,MZ,75.2,overcast clouds,-19.84,34.84,Beira Terrace Hotel
318,Tanete,ID,88.39,clear sky,-3.94,119.78,Wisma Tri Multi
320,Liwale,TZ,74.26,overcast clouds,-9.77,37.93,Samoma Lodge
321,Iwaki,JP,90.0,light rain,37.05,140.88,Toyoko Inn Iwaki Ekimae
324,Xining,CN,81.09,broken clouds,36.62,101.77,Super Leisure Hotel
325,Kasba,IN,86.29,broken clouds,25.85,87.55,Mira dab nath
326,Vershino-Shakhtaminskiy,RU,70.43,light rain,51.3,117.89,
327,Owensboro,US,71.6,scattered clouds,37.77,-87.11,Courtyard by Marriott Owensboro
329,Wawina,HN,74.35,light rain,15.42,-84.43,
330,Carnarvon,AU,71.6,overcast clouds,-24.87,113.63,Hospitality Carnarvon
331,Port Hedland,AU,86.0,clear sky,-20.32,118.57,The Esplanade Hotel
332,Keller,US,75.99,clear sky,32.93,-97.25,Tiny Home Getaway on Urban Farm
333,Inhambane,MZ,73.4,scattered clouds,-23.86,35.38,Oceano
335,Cabinda,AO,77.0,broken clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
